,track,tw,wb,df_scale,drag_scale
294,0,54,60.5,1.2385964912280694,1.1679999999999988
295,0,54,61.5,1.2385964912280694,1.1679999999999988
296,0,54,62.5,1.2385964912280694,1.1679999999999988
297,0,54,63.5,1.2385964912280694,1.1679999999999988
298,0,54,64.5,1.2385964912280694,1.1679999999999988
299,0,54,65.5,1.2385964912280694,1.1679999999999988
300,0,54,66.5,1.2385964912280694,1.1679999999999988
301,0,54,67.5,1.2385964912280694,1.1679999999999988
302,0,54,68.5,1.2385964912280694,1.1679999999999988
303,0,54,69.5,1.2385964912280694,1.1679999999999988
304,0,54,70.5,1.2385964912280694,1.1679999999999988
305,0,54,71.5,1.2385964912280694,1.1679999999999988
306,0,54,72.5,1.2385964912280694,1.1679999999999988
307,0,54,73.5,1.2385964912280694,1.1679999999999988
308,0,54,74.5,1.2385964912280694,1.1679999999999988
309,0,54,75.5,1.2385964912280694,1.1679999999999988
310,0,54,76.5,1.2385964912280694,1.1679999999999988
311,0,54,77.5,1.2385964912280694,1.1679999999999988
312,0,54,78.5,1.2385964912280694,1.1679999999999988
313,0,54,79.5,1.2385964912280694,1.1679999999999988
314,0,54,80.5,1.2385964912280694,1.1679999999999988
315,0,55,60.5,1.2982456140350862,1.2099999999999986
316,0,55,61.5,1.2982456140350862,1.2099999999999986
317,0,55,62.5,1.2982456140350862,1.2099999999999986
318,0,55,63.5,1.2982456140350862,1.2099999999999986
319,0,55,64.5,1.2982456140350862,1.2099999999999986
320,0,55,65.5,1.2982456140350862,1.2099999999999986
321,0,55,66.5,1.2982456140350862,1.2099999999999986
322,0,55,67.5,1.2982456140350862,1.2099999999999986
323,0,55,68.5,1.2982456140350862,1.2099999999999986
324,0,55,69.5,1.2982456140350862,1.2099999999999986
325,0,55,70.5,1.2982456140350862,1.2099999999999986
326,0,55,71.5,1.2982456140350862,1.2099999999999986
327,0,55,72.5,1.2982456140350862,1.2099999999999986
328,0,55,73.5,1.2982456140350862,1.2099999999999986
329,0,55,74.5,1.2982456140350862,1.2099999999999986
330,0,55,75.5,1.2982456140350862,1.2099999999999986
331,0,55,76.5,1.2982456140350862,1.2099999999999986
332,0,55,77.5,1.2982456140350862,1.2099999999999986
333,0,55,78.5,1.2982456140350862,1.2099999999999986
334,0,55,79.5,1.2982456140350862,1.2099999999999986
335,0,55,80.5,1.2982456140350862,1.2099999999999986
336,1,40,60.5,0.40350877192983137,0.5800000000000041
337,1,40,61.5,0.40350877192983137,0.5800000000000041
338,1,40,62.5,0.40350877192983137,0.5800000000000041
339,1,40,63.5,0.40350877192983137,0.5800000000000041
340,1,40,64.5,0.40350877192983137,0.5800000000000041
341,1,40,65.5,0.40350877192983137,0.5800000000000041
342,1,40,66.5,0.40350877192983137,0.5800000000000041
343,1,40,67.5,0.40350877192983137,0.5800000000000041
344,1,40,68.5,0.40350877192983137,0.5800000000000041
345,1,40,69.5,0.40350877192983137,0.5800000000000041
346,1,40,70.5,0.40350877192983137,0.5800000000000041
347,1,40,71.5,0.40350877192983137,0.5800000000000041
348,1,40,72.5,0.40350877192983137,0.5800000000000041
349,1,40,73.5,0.40350877192983137,0.5800000000000041
350,1,40,74.5,0.40350877192983137,0.5800000000000041
351,1,40,75.5,0.40350877192983137,0.5800000000000041
352,1,40,76.5,0.40350877192983137,0.5800000000000041
353,1,40,77.5,0.40350877192983137,0.5800000000000041
354,1,40,78.5,0.40350877192983137,0.5800000000000041
355,1,40,79.5,0.40350877192983137,0.5800000000000041
356,1,40,80.5,0.40350877192983137,0.5800000000000041
357,1,41,60.5,0.4631578947368482,0.6220000000000037
358,1,41,61.5,0.4631578947368482,0.6220000000000037
359,1,41,62.5,0.4631578947368482,0.6220000000000037
360,1,41,63.5,0.4631578947368482,0.6220000000000037
361,1,41,64.5,0.4631578947368482,0.6220000000000037
362,1,41,65.5,0.4631578947368482,0.6220000000000037
363,1,41,66.5,0.4631578947368482,0.6220000000000037
364,1,41,67.5,0.4631578947368482,0.6220000000000037
365,1,41,68.5,0.4631578947368482,0.6220000000000037
366,1,41,69.5,0.4631578947368482,0.6220000000000037
367,1,41,70.5,0.4631578947368482,0.6220000000000037
368,1,41,71.5,0.4631578947368482,0.6220000000000037
369,1,41,72.5,0.4631578947368482,0.6220000000000037
370,1,41,73.5,0.4631578947368482,0.6220000000000037
371,1,41,74.5,0.4631578947368482,0.6220000000000037
372,1,41,75.5,0.4631578947368482,0.6220000000000037
373,1,41,76.5,0.4631578947368482,0.6220000000000037
374,1,41,77.5,0.4631578947368482,0.6220000000000037
375,1,41,78.5,0.4631578947368482,0.6220000000000037
376,1,41,79.5,0.4631578947368482,0.6220000000000037
377,1,41,80.5,0.4631578947368482,0.6220000000000037
378,1,42,60.5,0.522807017543865,0.6640000000000035
379,1,42,61.5,0.522807017543865,0.6640000000000035
380,1,42,62.5,0.522807017543865,0.6640000000000035
381,1,42,63.5,0.522807017543865,0.6640000000000035
382,1,42,64.5,0.522807017543865,0.6640000000000035
383,1,42,65.5,0.522807017543865,0.6640000000000035
384,1,42,66.5,0.522807017543865,0.6640000000000035
385,1,42,67.5,0.522807017543865,0.6640000000000035
386,1,42,68.5,0.522807017543865,0.6640000000000035
387,1,42,69.5,0.522807017543865,0.6640000000000035
388,1,42,70.5,0.522807017543865,0.6640000000000035
389,1,42,71.5,0.522807017543865,0.6640000000000035
390,1,42,72.5,0.522807017543865,0.6640000000000035
391,1,42,73.5,0.522807017543865,0.6640000000000035
392,1,42,74.5,0.522807017543865,0.6640000000000035
393,1,42,75.5,0.522807017543865,0.6640000000000035
394,1,42,76.5,0.522807017543865,0.6640000000000035
395,1,42,77.5,0.522807017543865,0.6640000000000035
396,1,42,78.5,0.522807017543865,0.6640000000000035
397,1,42,79.5,0.522807017543865,0.6640000000000035
398,1,42,80.5,0.522807017543865,0.6640000000000035
399,1,43,60.5,0.5824561403508823,0.7060000000000031
400,1,43,61.5,0.5824561403508823,0.7060000000000031
401,1,43,62.5,0.5824561403508823,0.7060000000000031
402,1,43,63.5,0.5824561403508823,0.7060000000000031
403,1,43,64.5,0.5824561403508823,0.7060000000000031
